"Nearest Building","X","Y","Latitude","Longitude","Site ID","Species","DBH","Multi-stem","Arbor Day / Tree Campus USA","Donor","Donor Tree","State Champion Tree","Tree Trail"
"Activities & Recreation Center",1011620.55479079,1250856.89032798,40.1013848028,-88.235490938,7324,"oak, swamp white (Quercus bicolor)",7,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011105.35218771,1250510.98274682,40.1004367889,-88.2373339813,7329,"Stump, (Stump)",17,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011593.95932344,1250856.86108759,40.1013848028,-88.2355860097,7331,"oak, northern red (Quercus rubra)",7,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011566.30003742,1250856.83070774,40.1013848028,-88.2356848842,7341,"oak, swamp white (Quercus bicolor)",7,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011104.90981111,1250530.69628196,40.1004909061,-88.2373354866,7345,"pine, Scotch (Pinus sylvestris)",14,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011525.52148241,1250855.72633263,40.101381894,-88.2358306607,7349,"oak, northern red (Quercus rubra)",5,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011106.07305286,1250623.39512702,40.1007453714,-88.2373309707,7353,"Stump, (Stump)",17,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011415.94778857,1250855.95967422,40.1013828636,-88.2362223559,7360,"oak, northern red (Quercus rubra)",5,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011104.78757509,1250643.94655392,40.1008017911,-88.2373354866,7365,"Stump, (Stump)",12,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011104.34836972,1250660.72387499,40.1008478481,-88.2373369919,7375,"pine, Scotch (Pinus sylvestris)",10,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011102.961954,1250774.81108759,40.1011610343,-88.2373415078,7378,"maple, Freeman (Acer x freemanii)",5,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011102.64134471,1250681.69426085,40.1009054192,-88.2373430131,7385,"pine, Scotch (Pinus sylvestris)",18,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011159.68165868,1250750.07002717,40.1010929491,-88.2371388467,7387,"maple, Freeman (Acer x freemanii)",8,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011104.30400785,1250701.8293776,40.1009606874,-88.2373369919,7396,"pine, Scotch (Pinus sylvestris)",10,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011163.90944434,1250775.50609304,40.1011627614,-88.2371236352,7398,"maple, Freeman (Acer x freemanii)",10,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010796.35265899,1250614.75115281,40.100722555,-88.2384381593,7399,"maple, sugar (Acer saccharum)",8,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011104.70835623,1250717.34923898,40.1010032899,-88.2373354866,7403,"pine, Scotch (Pinus sylvestris)",15,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011183.39641045,1250790.71541898,40.1012044548,-88.237053916,7406,"maple, Freeman (Acer x freemanii)",10,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010795.01824764,1250535.98215847,40.1005063292,-88.2384432297,7408,"maple, sugar (Acer saccharum)",8,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011103.8430758,1250738.73992931,40.1010620123,-88.2373384972,7411,"maple, Freeman (Acer x freemanii)",10,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011175.58817301,1250797.06483398,40.1012219079,-88.2370818037,7412,"redcedar, eastern (Juniperus virginiana)",4,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010793.65067026,1250488.29617558,40.1003754298,-88.2384483002,7416,"maple, red (Acer rubrum)",7,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011167.79063839,1250793.52425024,40.1012122117,-88.2371096914,7418,"redcedar, eastern (Juniperus virginiana)",4,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011104.66670971,1250755.93799299,40.1011092205,-88.2373354866,7419,"maple, Freeman (Acer x freemanii)",8,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010795.46554251,1250449.09076297,40.1002678013,-88.2384419622,7422,"maple, sugar (Acer saccharum)",17,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010870.0187084,1250618.66005614,40.1007330694,-88.2381748108,7425,"linden, littleleaf (Tilia cordata)",7,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1011101.45281694,1250817.82440314,40.1012791151,-88.2373467366,7426,"oak, northern red (Quercus rubra)",24,"No"," ",,"N/A"," ","N/A"
"Activities & Recreation Center",1010875.99679277,1250624.22962249,40.1007483409,-88.2381534197,7427,"linden, littleleaf (Tilia cordata)",8,"No"," ",,"N/A"," ","N/A"
